,mncoef,mncoef_bin,fracODC
547,0.3579703987902312,"(0.338, 0.373]",0.19375
548,0.37105352988231405,"(0.338, 0.373]",0.23841059602649006
549,0.33561136031784583,"(0.303, 0.338]",0.2013888888888889
550,0.3705056265845282,"(0.338, 0.373]",0.20567375886524822
551,0.4147904943254858,"(0.407, 0.442]",0.18439716312056736
552,0.3827146330231968,"(0.373, 0.407]",0.1619718309859155
553,0.3649619695436336,"(0.338, 0.373]",0.1656441717791411
554,0.39808368787981685,"(0.373, 0.407]",0.15555555555555556
555,0.3994957822387348,"(0.373, 0.407]",0.1411764705882353
556,0.3715555870440923,"(0.338, 0.373]",0.1346153846153846
557,0.4134385650501542,"(0.407, 0.442]",0.14383561643835616
558,0.4208550577855725,"(0.407, 0.442]",0.125
572,0.2859800893545695,"(0.269, 0.303]",0.11320754716981132
573,0.262621421247509,"(0.234, 0.269]",0.10526315789473684
574,0.33650136198169517,"(0.303, 0.338]",0.11822660098522167
575,0.19492013616744516,"(0.165, 0.2]",0.12435233160621761
576,0.3489488394382608,"(0.338, 0.373]",0.109375
577,0.34794585567214914,"(0.338, 0.373]",0.13089005235602094
578,0.39423945337872973,"(0.373, 0.407]",0.1256544502617801
579,0.37020545479970135,"(0.338, 0.373]",0.12435233160621761
580,0.4299086338136654,"(0.407, 0.442]",0.12886597938144329
581,0.386738806578873,"(0.373, 0.407]",0.09844559585492228
582,0.3987154962486937,"(0.373, 0.407]",0.09340659340659341
583,0.34742182382974857,"(0.338, 0.373]",0.10465116279069768
584,0.41107764700235133,"(0.407, 0.442]",0.13414634146341464
585,0.38785271572502256,"(0.373, 0.407]",0.16556291390728478
586,0.4458155567833972,"(0.442, 0.476]",0.19078947368421054
587,0.3571901355228668,"(0.338, 0.373]",0.19047619047619047
588,0.36497817679986033,"(0.338, 0.373]",0.1506849315068493
589,0.36079156670727514,"(0.338, 0.373]",0.152317880794702
590,0.3587550166335858,"(0.338, 0.373]",0.14285714285714285
591,0.3722358655264091,"(0.338, 0.373]",0.13095238095238096
592,0.4303025344200357,"(0.407, 0.442]",0.1592356687898089
593,0.3777845526072331,"(0.373, 0.407]",0.15671641791044777
594,0.37403367838449025,"(0.373, 0.407]",0.13445378151260504
611,-0.03190743965371665,"(-0.042, -0.00742]",0.1339712918660287
612,0.029892633425494954,"(0.0271, 0.0617]",0.13592233009708737
613,0.2782824325964197,"(0.269, 0.303]",0.1323529411764706
614,0.2816429735729083,"(0.269, 0.303]",0.12121212121212122
615,0.3407435395883746,"(0.338, 0.373]",0.1485148514851485
616,0.3609965707165082,"(0.338, 0.373]",0.12376237623762376
617,0.4334841624757676,"(0.407, 0.442]",0.11330049261083744
618,0.37079327676169893,"(0.338, 0.373]",0.12254901960784313
619,0.3556651727950667,"(0.338, 0.373]",0.085
620,0.38132310632347516,"(0.373, 0.407]",0.08108108108108109
621,0.3823826479348278,"(0.373, 0.407]",0.0935672514619883
622,0.31521507807207705,"(0.303, 0.338]",0.11515151515151516
623,0.280449484373056,"(0.269, 0.303]",0.13793103448275862
624,0.31963182209635405,"(0.303, 0.338]",0.17123287671232876
625,0.34626901136649163,"(0.338, 0.373]",0.17333333333333334
626,0.3582449742647173,"(0.338, 0.373]",0.14084507042253522
627,0.22137294737634308,"(0.2, 0.234]",0.1390728476821192
629,0.37767622088547026,"(0.373, 0.407]",0.147239263803681
630,0.3673744981710904,"(0.338, 0.373]",0.16149068322981366
631,0.38415214144600185,"(0.373, 0.407]",0.17647058823529413
632,0.13054689131033415,"(0.0962, 0.131]",0.152
650,0.3186230540226599,"(0.303, 0.338]",0.14361702127659576
651,0.3522217367827017,"(0.338, 0.373]",0.14432989690721648
652,0.2169359358476727,"(0.2, 0.234]",0.13612565445026178
653,0.26916587390722213,"(0.269, 0.303]",0.11891891891891893
654,0.3375759590227021,"(0.303, 0.338]",0.13402061855670103
655,0.2001815900156133,"(0.2, 0.234]",0.109375
656,0.34205227673783306,"(0.338, 0.373]",0.10471204188481675
657,0.41718878840137796,"(0.407, 0.442]",0.10471204188481675
658,0.342227703570959,"(0.338, 0.373]",0.08290155440414508
659,0.3878446032909965,"(0.373, 0.407]",0.08465608465608465
660,0.3432452187494022,"(0.338, 0.373]",0.09944751381215469
661,0.3327015653125795,"(0.303, 0.338]",0.12429378531073447
662,0.3492145760776122,"(0.338, 0.373]",0.14906832298136646
663,0.4010798197737721,"(0.373, 0.407]",0.16774193548387098
664,0.3474091905928776,"(0.338, 0.373]",0.16233766233766234
666,0.08342320902791053,"(0.0617, 0.0962]",0.1320754716981132
668,0.30091076664251465,"(0.269, 0.303]",0.16233766233766234
688,0.26903422568722923,"(0.269, 0.303]",0.15517241379310345
689,0.024440370980956187,"(-0.00742, 0.0271]",0.16216216216216217
690,0.34690641823621726,"(0.338, 0.373]",0.1377551020408163
691,0.19355631529259515,"(0.165, 0.2]",0.11052631578947368
692,0.2801328234243831,"(0.269, 0.303]",0.1092896174863388
693,0.3257239587867034,"(0.303, 0.338]",0.08152173913043478
694,0.297491454674176,"(0.269, 0.303]",0.08994708994708994
695,0.3440948619827106,"(0.338, 0.373]",0.10471204188481675
696,0.3240487754622802,"(0.303, 0.338]",0.12244897959183673
697,0.3289727143043637,"(0.303, 0.338]",0.12437810945273632
698,0.3447311970439631,"(0.338, 0.373]",0.13978494623655913
699,0.3118073496637465,"(0.303, 0.338]",0.15217391304347827
700,0.16982185793699664,"(0.165, 0.2]",0.17613636363636365
701,0.31156728934511646,"(0.303, 0.338]",0.18452380952380953
702,0.21585301669072743,"(0.2, 0.234]",0.17682926829268292
703,0.2924324697538681,"(0.269, 0.303]",0.14201183431952663
704,0.246672421865573,"(0.234, 0.269]",0.12121212121212122
728,0.027145337882943543,"(0.0271, 0.0617]",0.14772727272727273
729,0.2504878213454612,"(0.234, 0.269]",0.11734693877551021
730,0.24994107188063835,"(0.234, 0.269]",0.08290155440414508
731,0.3189674518871218,"(0.303, 0.338]",0.0918918918918919
732,0.32101356396299974,"(0.303, 0.338]",0.07344632768361582
733,0.3299165891679115,"(0.303, 0.338]",0.08670520231213873
734,0.2436193169386616,"(0.234, 0.269]",0.11797752808988764
735,0.23943794258757645,"(0.234, 0.269]",0.12087912087912088
736,0.31879791957058945,"(0.303, 0.338]",0.12834224598930483
737,0.36302279977303437,"(0.338, 0.373]",0.14444444444444443
738,0.39202408314036963,"(0.373, 0.407]",0.16091954022988506
740,0.30618484300813253,"(0.303, 0.338]",0.16463414634146342
743,0.3737533840285167,"(0.373, 0.407]",0.1111111111111111
772,0.29091168737858264,"(0.269, 0.303]",0.07253886010362694
